화장실명,소재지도로명주소,비상벨설치여부,개방시간상세,male,female,lat,lon
맑은물사업소 1층,"경기도 의정부시 호국로1049번길 39 (가능동, 맑은물사업소)",N,09:00~18:00,0,1,37.742185,127.019934
맑은물사업소 2층,"경기도 의정부시 호국로1049번길 39 (가능동, 맑은물사업소)",N,09:00~18:00,0,1,37.742185,127.019934
맑은물사업소 3층,"경기도 의정부시 호국로1049번길 39 (가능동, 맑은물사업소)",N,09:00~18:00,0,1,37.742185,127.019934
맑은물사업소 지하1층,"경기도 의정부시 호국로1049번길 39 (가능동, 맑은물사업소)",N,09:00~18:00,0,1,37.742185,127.019934
의정부시보건소 1층,"경기도 의정부시 범골로 131 (의정부동, 의정부시보건소)",N,09:00~18:00,1,1,37.7361517,127.0395681
의정부시보건소 2층,"경기도 의정부시 범골로 131 (의정부동, 의정부시보건소)",N,09:00~18:00,1,1,37.7361517,127.0395681
의정부시보건소 3층,"경기도 의정부시 범골로 131 (의정부동, 의정부시보건소)",N,09:00~18:00,1,1,37.7361517,127.0395681
송산1동주민센터 1층,"경기도 의정부시 민락로 13 (용현동, 송산1동주민센터)",N,08:30~18:00,0,1,37.731076,127.0868068
송산1동주민센터 2층,"경기도 의정부시 민락로 13 (용현동, 송산1동주민센터)",N,08:30~18:00,0,1,37.731076,127.0868068
송산1동주민센터 3층,"경기도 의정부시 민락로 13 (용현동, 송산1동주민센터)",N,08:30~18:00,0,1,37.731076,127.0868068
송산2동 주민센터 1층,"경기도 의정부시 용민로 115 (민락동, 송산2동주민센터)",Y,09:00~18:00,0,1,37.7396902,127.0899607
송산3동 행정복지센터 1층,"경기도 의정부시 민락로 360 (낙양동, 송산3동 공공복합청사)",N,07:00~22:00,1,1,37.7532684,127.1138908
송산3동 행정복지센터 2층,"경기도 의정부시 민락로 360 (낙양동, 송산3동 공공복합청사)",N,09:00~18:00,1,1,37.7532684,127.1138908
송산3동 행정복지센터 3층,"경기도 의정부시 민락로 360 (낙양동, 송산3동 공공복합청사)",N,09:00~18:00,1,1,37.7532684,127.1138908
송산3동 행정복지센터 4층,"경기도 의정부시 민락로 360 (낙양동, 송산3동 공공복합청사)",N,09:00~18:00,1,1,37.7532684,127.1138908
송산3동 행정복지센터 5층,"경기도 의정부시 민락로 360 (낙양동, 송산3동 공공복합청사)",N,09:00~18:00,1,1,37.7532684,127.1138908
신곡1동 행정복지센터 1층,"경기도 의정부시 발곡로 17 (신곡동, 신곡1동행정복지센터)",N,09:00~18:00,0,1,37.7314838,127.0567638
신곡2동주민센터,"경기도 의정부시 추동로23번길 7 (신곡동, 신곡2동주민센터)",N,09:00~18:00,1,1,37.7435457,127.0579399
신곡2동주민센터 별관,"경기도 의정부시 추동로23번길 7 (신곡동, 신곡2동주민센터)",N,09:00~18:00,0,1,37.7435457,127.0579399
동막교,경기도 의정부시 백석로 129 (호원동),Y,00:00~00:00,1,1,37.7269636,127.0515484
천보근린공원,경기도 의정부시 새말로 38 (금오동),Y,00:00~00:00,1,1,37.7514389,127.0645247
왕바우근린공원,경기도 의정부시 서광로 232 (고산동),Y,00:00~00:00,1,1,37.7383701,127.1135328
곤제근린공원,경기도 의정부시 송현로 123 (낙양동),Y,00:00~00:00,1,1,37.7463766,127.0861336
평화의광장(남측),경기도 의정부시 시민로 12 (의정부동),Y,00:00~00:00,1,1,37.7376877,127.0359288
본둔야 제2공영주차장,경기도 의정부시 신곡동 211-7,Y,00:00~00:00,1,1,37.7279948,127.0699281
행복누리공원화장실,경기도 의정부시 신촌로 79 (가능동),Y,00:00~00:00,1,1,37.7524649,127.0430909
다리목공원,경기도 의정부시 용민로 105 (민락동),Y,00:00~00:00,1,1,37.7393056,127.089016
푸른물빛공원(한옥)화장실,경기도 의정부시 용민로 457 (민락동),Y,00:00~00:00,1,1,37.7530825,127.1188877
직동근린공원(청소년회관 뒤),경기도 의정부시 의정로 27-35 (의정부동),Y,00:00~00:00,1,1,37.736201,127.0323932
캠프 라과디아 체육공원,경기도 의정부시 의정부동 340,Y,00:00~00:00,1,1,37.7438752,127.0385274
신의교 인근 공중화장실,경기도 의정부시 의정부동 38-61,Y,00:00~00:00,1,1,37.7346875,127.053666
자일동 산림욕장 공중화장실,경기도 의정부시 자일동 산87,N,00:00~00:00,1,1,37.769046,127.1094941
행복갤러리&공중화장실,경기도 의정부시 장곡로 147 (장암동),Y,00:00~00:00,1,1,37.7220253,127.0529111
부용천 땅콩화장실,경기도 의정부시 장곡로 463 (신곡동),Y,00:00~00:00,1,1,37.7444008,127.0558987
중랑천 장암동 135-48 화장실,경기도 의정부시 장암동 135-48,Y,00:00~00:00,1,1,37.7109542,127.0514801
파크골프장 공중화장실,경기도 의정부시 서계로 26 (장암동),Y,00:00~00:00,1,0,37.7012224,127.0500662
중랑천(호장교 동),경기도 의정부시 장암동 299-8,Y,00:00~00:00,1,1,37.6968228,127.048752
중랑천(호장교 서),경기도 의정부시 평화로 104-24 (호원동),Y,00:00~00:00,1,1,37.7020823,127.0492371
역전근린공원 공중화장실,경기도 의정부시 평화로 535 (의정부동),Y,00:00~00:00,1,1,37.7398062,127.047189
