화장실명,소재지도로명주소,비상벨설치여부,개방시간상세,male,female
행복나눔 목공소(귀락문화공원),경기도 의정부시 민락로560번길 74 (자일동),Y,00:00~00:00,1,1
직동근린공원(세무서 뒤),경기도 의정부시 호국로1162번길 73 (의정부동),Y,00:00~00:00,1,1
경기북부병무지청 병역판정검사동 1층,"경기도 의정부시 전좌로 76 (호원동, 경기도북부병무지청)",N,09:00~18:00,0,1
경기북부병무지청 병역판정검사동 지하,"경기도 의정부시 전좌로 76 (호원동, 경기도북부병무지청)",N,09:00~18:00,0,1
경기북부병무지청 본관동 1층,"경기도 의정부시 전좌로 76 (호원동, 경기도북부병무지청)",N,09:00~18:00,0,1
경기북부보훈지청 1층(남자화장실),"경기도 의정부시 평화로 589 (의정부동, 의정부보훈지청)",N,09:00~18:00,0,1
중부지방고용노동청의정부지청 2층,"경기도 의정부시 충의로 143 (용현동, 중부지방고용노동청의정부지청)",N,09:00~18:00,1,1
중부지방고용노동청의정부지청 3층,"경기도 의정부시 충의로 143 (용현동, 중부지방고용노동청의정부지청)",N,09:00~18:00,1,1
금오119안전센터,"경기도 의정부시 호국로 1434-14 (금오동, 파발119안전센터)",N,00:00~00:00,1,1
금오지구대,"경기도 의정부시 추동로108번길 1 (신곡동, 금오지구대)",N,00:00~00:00,1,1
송산지구대,"경기도 의정부시 용민로 119 (민락동, 송산지구대)",N,00:00~00:00,1,1
의정부경찰서 별관1층,"경기도 의정부시 호국로 1265 (의정부동, 의정부경찰서)",N,00:00~00:00,1,1
의정부경찰서 본관1층,"경기도 의정부시 호국로 1265 (의정부동, 의정부경찰서)",N,00:00~00:00,1,1
의정부고용센터,"경기도 의정부시 시민로 49 (가능동, 신동아파라디움)",N,09:00~18:00,1,1
흥선119안전센터,"경기도 의정부시 의정로 48 (의정부동, 의정부소방서및민방위교육장)",N,07:00~00:00,1,1
의정부면허시험장 별관 1층,"경기도 의정부시 금오로109번길 55 (금오동, 의정부운전면허시험장)",N,08:30~18:00,1,1
가능역,"경기도 의정부시 평화로 633 (가능동, 가능역)",Y,05:00~24:00,1,1
녹양역,"경기도 의정부시 평화로 757 (녹양동, 녹양역)",Y,00:00~00:00,1,1
망월사역,"경기도 의정부시 평화로 221 (호원동, 망월사역)",Y,00:00~00:00,1,1
의정부역,"경기도 의정부시 평화로 525 (의정부동, 의정부민자역사)",Y,00:00~00:00,2,2
양지공원,경기도 의정부시 호국로1346번길 41 (의정부동),Y,00:00~00:00,1,1
직동근린공원(미도아파트 뒤),경기도 의정부시 호원동 산14-11,Y,00:00~00:00,1,1
해동Ⅱ타워,"경기도 의정부시 천보로 56(민락동,해동Ⅱ타워)",N,00:00~00:00,1,1
의정부농협 가능지점,"경기도 의정부시 가능로 66 (가능동, 의정부농협가능지점)",N,00:00~00:00,1,1
센트럴타워,"경기도 의정부시 시민로 80 (의정부동, 센트럴타워)",N,00:00~00:00,1,1
민락셀프주유소,경기도 의정부시 충의로 91 (용현동),N,00:00~00:00,1,1
가평군청 (1층 A-B),경기도 가평군 가평읍 석봉로 181,Y,운영시간내,1,1
가평군청 (1층 B-C),경기도 가평군 가평읍 석봉로 181,Y,운영시간내,1,1
가평군청 (1층 C-D),경기도 가평군 가평읍 석봉로 181,Y,운영시간내,1,1
가평군청 2청사 (1층),경기도 가평군 가평읍 석봉로 191번길 10,Y,운영시간내,1,1
가평군청 2청사 (2층),경기도 가평군 가평읍 석봉로 191번길 10,Y,운영시간내,1,1
가평군청 2청사 (3층),경기도 가평군 가평읍 석봉로 191번길 10,Y,운영시간내,1,1
가평군청 2청사 (4층),경기도 가평군 가평읍 석봉로 191번길 10,Y,운영시간내,1,1
농업기술센터 (1층),경기도 가평군 가평읍 아랫마장길 59,N,운영시간내,1,1
한석봉도서관 1층,경기도 가평군 가평읍 문화로 187,N,운영시간내,0,1
한석봉도서관 2층,경기도 가평군 가평읍 문화로 187,N,운영시간내,1,1
한석봉도서관 3층,경기도 가평군 가평읍 문화로 187,N,운영시간내,1,1
설악도서관 (1층),경기도 가평군 설악면 자잠로 65,Y,운영시간내,0,1
설악도서관 (3층),경기도 가평군 설악면 자잠로 65,Y,운영시간내,1,0
청평도서관 (지하 1층),경기도 가평군 청평면 은고개로 31,Y,운영시간내,1,1
조종도서관 (1층),경기도 가평군 조종면 조종희망로26번길22,N,운영시간내,1,1
가평군 상수도사업소,경기도 가평군 가평읍 호반로 2463-41,N,운영시간내,1,1
설악면사무소 (1층),경기도 가평군 설악면 한서로 6,Y,운영시간내,1,1
설악면사무소 (2층),경기도 가평군 설악면 한서로 6,Y,운영시간내,1,1
설악면사무소 (3층),경기도 가평군 설악면 한서로 6,Y,운영시간내,1,1
청평면사무소 (1층),경기도 가평군 청평면 은고개로 19,Y,운영시간내,1,1
상면사무소 (1층),경기도 가평군 상면 청군로 1105,Y,운영시간내,1,1
조종면사무소 (1층),경기도 가평군 조종면 조종내길 71,N,운영시간내,1,1
북면사무소 (1층),경기도 가평군 북면 가화로 1030-39,Y,운영시간내,1,1
북면사무소 (2층),경기도 가평군 북면 가화로 1030-39,Y,운영시간내,1,1
북면사무소 (3층),경기도 가평군 북면 가화로 1030-39,Y,운영시간내,1,1
설악면종합복지회관,경기도 가평군 설악면 한서로 18-16,N,운영시간내,1,1
청평면종합복지회관,경기도 가평군 청평면 은고개로 15,N,운영시간내,1,1
조종면복지회관,경기도 가평군 조종면 현창로62번길 12-10,N,운영시간내,1,1
북면복지회관,경기도 가평군 북면 목동복지로 36-12,N,운영시간내,1,1
설악생활체육공원,경기도 가평군 설악면 자잠로 53-88,N,운영시간내,1,1
눈메골 광장 공중화장실,경기도 가평군 설악면 신천중앙로 102,N,00:00~00:00,1,1
테니스장 옆 주차장,경기도 가평군 설악면 선촌리 589-1,N,00:00~00:00,1,1
현리터미널화장실,경기도 가평군 조종면 현창로 35,N,00:00~00:00,1,1
운악산 공중화장실,경기도 가평군 조종면 현등사길 11,N,00:00~00:00,1,1
유명산 공중화장실,경기도 가평군 설악면 유명산길 101-30,Y,00:00~00:00,1,1
솔고개 공중화장실,경기도 가평군 설악면 유명로 1833-5,Y,00:00~00:00,1,1
가일리 공중화장실,경기도 가평군 설악면 어비산길 229,Y,00:00~00:00,0,1
목동터미널 화장실,경기도 가평군 북면 화악산로11번길 5,N,00:00~00:00,1,1
청평터미널,경기도 가평군 청평면 청평중앙로 54,N,00:00~00:00,1,1
산촌마을 공중화장실,경기도 가평군 북면 백둔로 417-9,Y,00:00~00:00,1,1
명지산 군립공원 공중화장실,경기도 가평군 북면 가화로 2089-12,Y,00:00~00:00,1,1
청평여울시장 상설동 화장실,경기도 가평군 청평면 시장중앙로 19,N,00:00~00:00,1,1
음악역1939,경기도 가평군 가평읍 석봉로 100,N,09:00~22:00,2,2
호명호수(제1주차장),경기도 가평군 청평면 상천리 1519-16,Y,00:00~00:00,1,1
상천테마공원(주차장),경기도 가평군 청평면 상지로 64번길 77,Y,00:00~00:00,1,1
대성국민관광지(안내소),경기도 가평군 청평면 대성리 601-1,Y,00:00~00:00,1,1
청춘역1979,경기도 가평군 청평면 청평리 383-1,Y,00:00~00:00,1,1
이화원 여자화장실,경기도 가평군 가평읍 자라섬로 64,Y,00:00~00:00,1,2
자라섬 수상스포츠 체험센터,경기도 가평군 가평읍 대곡리 683,Y,00:00~00:00,1,1
밀리터리 테마공원 화장실,경기도 가평군 조종면 현리 2-26,Y,00:00~00:00,1,1
보납산 입구 화장실,경기도 가평군 가평읍 자라목6길 34,Y,00:00~00:00,1,1
용소폭포 공중화장실2,경기도 가평군 북면 도대리 574,N,00:00~00:00,1,1
가평근린공원,경기도 가평군 가평읍 읍내리 400-9,N,05:00~20:00,1,1
가평레일바이크 화장실,경기도 가평군 가평읍 장터길 14,N,운영시간내,1,1
자라목공원,경기도 가평군 가평읍 보납로 73 일원,N,00:00~00:00,1,1
진흥여객 차고지,경기도 가평군 조종면 청군로 1294,N,운영시간내,1,0
가평공영버스터미널화장실,경기도 가평군 가평읍 가화로 51,N,운영시간내,1,1
자라섬캠핑장1(오토),경기도 가평군 가평읍 자라섬로 60,N,00:00~00:00,1,0
자라섬캠핑장2(A사이트),경기도 가평군 가평읍 자라섬로 60,N,00:00~00:00,1,0
자라섬캠핑장3(B사이트),경기도 가평군 가평읍 자라섬로 60,N,00:00~00:00,1,0
(주)라인에너지청평충전소,경기도 가평군 청평면 경춘로 1050,Y,운영시간내,1,1
자라섬남도1(강변),경기도 가평군 가평읍 자라섬로 60,N,00:00~00:00,1,0
조종국민체육센터,경기도 가평군 조종면 조종희망로26번길 16,N,운영시간내,3,3
청평호반문화체육센터,경기도 가평군 청평면 은고개로 39,Y,운영시간내,4,4
가평파크골프장,경기도 가평군 청평면 북한강자전거길 1894,Y,운영시간내,1,1
한석봉체육관(4),경기도 가평군 가평읍 문화로 153,Y,운영시간내,2,2
종합운동장(4),경기도 가평군 가평읍 문화로 131,N,00:00~00:00,2,2
가평체육관,경기도 가평군 가평읍 문화로 131,N,운영시간내,2,2
